year	sentence	category	position
2004	She sipped her latte gracefully, unaware of the milk foam droplets building on her mustache, which was not the peachy-fine baby fuzz that Nordic girls might have, but a really dense, dark, hirsute lip-lining row of fur common to southern Mediterranean ladies nearing menopause, and winked at the obviously charmed Spaniard at the next table.	Grand Panjandrum's Special Award	
2004	Twas morning—the sun rose under the brightest auspices, and the thin, vaporous clouds that flitted in the heavens, continued gradually to flee away before the gentle morning breeze, that seemed wont to greet their golden visages with the soft rustle of its dewy wings—until not a hand's breadth of them were seen remaining to mar the spotless beauty of the ethereal blue.	Earliest Unintentional Submission	
2004	The legend about Padre Castillo's gold being buried deep in the Blackwolf Hills had lain untold for centuries and will continue to do so for this story is not about hidden treasure, nor is it set in any mountainous terrain whatsoever.	Adventure	Winner
2004	Lord Tarlington gazed upon the crazed Egyptian hieroglyphics on the walls of the ancient tomb of the petrified pharaoh, he vowed there would be no curse on him like on that other Lord, unless you count his marriage to Lady Tarlington who, when the lost treasure was found, will be dumped faster than that basket in the bulrushes.	Adventure	Runner Up
2004	Clementine sat in the shade of a beech tree, of the family Fagaceae, the leaves of which were more or less ovate, being perhaps not quite as pointed as those of the North American, grandifolia species of the Fagus genus that are the color of a swimming pool that had been left too long without chlorine, but neither were they like those of Fagus sylvatica var. purpurea that are the color of dried burgundy stains on cream linen.	Fiction for the Erudite	Winner
2004	Jack planted the magic beans and in one night a giant beanstalk grew all the way from the earth up to the clouds—which sounds like a lie, but it can be done with genetic engineering, and although a few people are against eating gene-engineered foods like those beans it's a high-paying career to think about for when you grow up.	Children's Literature	Winner
2004	As he entered the room within which so many a wild night of their sweltering love affair had been spent, the White Rabbit regarded her with benevolent eyes, her posture such that he suspected something was wrong, but before he could speak Alice unburied her face from her trembling hands and between her intense sobs he made out the words, "I'm late…I'm late."	Children's Literature	Dishonorable Mentions
2004	It was a stark and dormy night—the kind of Friday night in the dorm where wistful women/girls without dates ovulated pointlessly and dreamed of steamy sex with bad boy/men in the backseat of a Corvette—like the one on Route 66, only a different color, though the color was hard to determine because the TV show was in black and white—if only Corvettes had back seats.	Dark & Stormy	Winner
2004	It was a dark and stormy night—actually not all that dark, but more dusky or maybe cloudy, and to say "stormy" may be overstating things a bit, although the sidewalks were still wettish and smelled of ozone, and, truth be told, characterizing the time as night is a stretch as it was more in the late, late afternoon because I think Oprah was still on.	Dark & Stormy	Runner Up
2004	Detective Micky Blarke arrived on the scene at 2:14 am, and gave his cigarette such a severe pull that rookie Paul Simmons swore the insides of the detective's cheeks touched, but the judge indicated that that amount of detail was not necessary in his testimony, and instructed the jury to disregard that statement.	Crime & Detective	Winner
2004	The knife handle jutted from her chest like one of the plastic pop-up timers in a frozen turkey, but from the blood pooling around the wound, it was apparent that this bird wasn't done.	Crime & Detective	Runner Up
2004	"After several minutes, Detective Wilson, standing over the lifeless, tuxedo-clad corpse, the spandex tights it had been strangled with still around its neck, realized that the poor ringmaster had simply been a victim of circus dancers."	Crime & Detective	Dishonorable Mentions
2004	Gringran Roojner had only gone to see the Great Warlock of Loowith to get his horoscope and he couldn't believe he'd been sent on a quest for the legendary Scromer of Nothleen to ask him for the answer to the Riddle of Shimmererer so that he could give it to the Guardians of Vooroniank, thereby gaining access to the Cave of Zothlianath where he would find the seldom seen Cowering of Groojanc, whose spittle was an absolute necessity in the making of the Warlock's famous pound cake, the kind with raisins.	Fantasy	Winner
2004	When Cinderella saw that the Prince had sent the Duke to find the woman of his dreams, like some rich schoolboy who pays the smartest kid in the class to do his homework, or worse, like someone who has been on welfare so long that he has trouble doing any kind of work, she suddenly realized the spoiled nature of the King's son and stealthily slid the slipper back into her pocket.	Children's Literature	Runner Up
2004	Alas, all he wanted was to be the best barber in the world, even if only by a hair, but, alas he found his ambition thwarted by a headlong rush of fate and an unexpected side effect of his tonsorial skill — everyone he served became strangely calmer and less argumentative, and he discovered that people were coming to him only for his kinder cuts, this barber of civility.	Vile Puns	Dishonorable Mentions
2004	I woke up in Shirley's father's dog's house — or at least most of me did, because the house was ranch style as near as I could figure it and Shirley's father's dog Tracey was one of those little terrier types with the sardonic overbite and the haunted eyes of a Flamenco dancer.	Miscellaneous Dishonorable Mentions	
2004	It was hardtack and beans for the crouching cowboys in the lee of the chuck wagon that stormy night when the wind flared the fire and the light caught the trail boss' leather-bound, barb-wire muscled face which might have said, were he not the quiet sort, "Cookie, we should have had more salads."	Western	Runner Up
2004	Farmer Brown knew the moment he read the ransom note-the tiny, dirty footprints, childish scrawl, and a spray of seed debris among the angry peckmarks marring the paper's surface-that the chickens had kidnapped his beloved Bichon Friese Fifi, and that the only man who could help him, George "The Chicken Whisperer" Fitzpatrick, was sleeping off a killer hangover in the outdoor privy behind the pigpen.	Miscellaneous Dishonorable Mentions	
2004	As he pressed his heaving, moist, ineffable manhood closer to her trembling porcelain bosom, Reginal Pompilious-Pomfret, Duke of Sufferingdale, wondered, not for the first time, whether this Lady Ashdown might not, in fact, be his sister, and resolved to confront mater about the subject directly he finished slaking his Jovian lust upon her ladyship.	Miscellaneous Dishonorable Mentions	
2004	It was 11:59 AM according to the clock located on the lower right hand side of his desktop display on his task bar (for Microsoft Windows XP was the standard Operating System in use at his office) and life was effectively over, as his one true love, his eternal soul mate, called him from her Nokia 3130 cell phone by depressing and holding the three key, using the soon-to-be-erased quick dial feature, to let him know their passionate and tumultuous relationship had to end.	Miscellaneous Dishonorable Mentions	
2004	The dead make good neighbors; I mean, they don't trot over at all hours and beat upon one's domicile door for a bit of sugar or whatnot; they don't accost one after church and press ragged tickets upon one for some bally fete or another, nor bung off to Bath after dropping their beastly pets for me to watch; no, as a whole, your graveyard corpse is a quiet, peaceful sort of Johnnie.	Miscellaneous Dishonorable Mentions	
2004	Keith's popularity as the first openly gay daredevil was rising quickly; in fact, it was said he ate danger for breakfast, followed by a light brunch of lemon scones, quiche, and the occasional Mimosa, and then he was back to eating danger.	Miscellaneous Dishonorable Mentions	
2004	If thoughts were threads, Melvin could have woven a multi-hued persian carpet that would have encircled the Equator 11.7 times over, because that was how often he thought of Shelly, the girl he met at the library, who was taking something out of her locker.	Miscellaneous Dishonorable Mentions	
2004	Johnny's first kiss with Melissa knocked him back on his heels like the bass line of the "Theme from Peter Gunn" — an odd sensation since Johnny wasn't born until 1972 and Peter Gunn was over because Blake Edwards, who created Peter Gunn, had begun the Pink Panther movies starring another Peter, Peter Sellars, best remembered for his performance as Chauncey Gardner in "Being There" but whose truly great role was in "Dr. Strangelove" co-starring Slim Pickens who rides an atomic bomb to earth where it explodes — and that was what Melissa's first kiss was really like.	Miscellaneous Dishonorable Mentions	
2004	As she pointed the car due north like a needle on a boy scout's compass to head back to the frozen wasteland from which she had come, a light rain began to drizzle down, forming hundreds—no thousands—of small cat paw prints, as though a herd of invisible felines of all sizes and ages with wet feet were jumping on the windshield, totally oblivious to the fact that the car was traveling at a speed high enough to dislodge any small animals from the front of the vehicle.	Miscellaneous Dishonorable Mentions	
2004	"Where to hide?" was Ovinia's only thought as she raced madly across the field outside Aberdeen and up a grassy incline, frantically seeking escape from the man who was hell-bent on possessing her, on making her his and his alone, having succumbed to her beauty, drawn into near madness by the watery depths of her brown eyes and lured by the exotic perfume of lanolin and newly-mown hay which wafted from her thick coat as she grazed.	Miscellaneous Dishonorable Mentions	
2004	As he felt the baseball bat connect firmly with the six-pointed Bar Mitzvah pinata, spilling its glorious load of chocolate dreidels and packages of neatly rolled polyester socks over him, Miguel Valdez Liebermann knew that, at long last, he was finally a man.	Miscellaneous Dishonorable Mentions	
2004	Sheila walked into the room, flaunting the kind of body that made grown men wish they were teenagers, made teenagers wish they were grown men, made toddlers wish they were preteens, made preteens wish they were young adults, and made everyone wish editors swung blue pencils the same way she swung her hips as she crossed the threshold of both the room and bad taste, her breasts swaying like dual house-trailers on a windy overpass.	Miscellaneous Dishonorable Mentions	
2004	It was a bright, yet sunless day, which left a gray cast to everything as Michelle, who went by Shellie because there were seven other girls in her homeroom named Michelle, although three of them went by Shellie also, looked for her pepper spray in her messy yet extremely fashionable back pack.	Miscellaneous Dishonorable Mentions	
2004	On the eerily quiet morning of Friday the 13th, a strong Sixth Sense told Bobbie-Jean it was time to quit her job as Quality Control Manager at the Cracker Jack Plant, with which her other five quickly agreed that she had smelled, touched, tasted, seen and heard enough of the stuff to last an entire lifetime.	Miscellaneous Dishonorable Mentions	
2004	I will tell you a tale of great adventure like in "Treasure Island," with some smiles and some tears like in "Lassie Come Home," some treachery and some heroism, again, like in "Treasure Island," some romance and some betrayal like in lots of Shakespeare ("Romeo and Juliet," for example), and even — if the reader doesn't mind — some philosophy, but like the Chicken Soup books not like Spinoza or Plato or anything.	Miscellaneous Dishonorable Mentions	
2004	Their eyes met across the crowded room and Morag smiled the smile of a single, endearingly clumsy thirtysomething female with an unfulfilling career, a gay best friend, a weakness for chocolate, and a talent for accessorizing who had found Mr. Right but needed to break-up and have fantastic make-up sex with him a couple of times before finally realizing he was the one.	Miscellaneous Dishonorable Mentions	
2004	"This town's not big enough for the two of us," growled Slim Jenkins, "but I think that if we can get the townspeople to agree to issue a bond to annex the Carter Ranch, we can then incorporate and there should be plenty of room for everyone."	Western	Winner
2004	It was a dark and stormy night, not so dark that one couldn't see a hungry Wallaby in a patch of wild gooseberries at fifty paces, nor stormy enough that a severe weather watch had been issued by the National Weather Services Department, but a dark and stormy night nevertheless.	Miscellaneous Dishonorable Mentions	
2004	"Call me Ishmael," Joanna finally began, a scant fourteen hours before her book report was due, and she sympathized with him and reflected on the likeness of the vast paper tome in front of her to the cetacean antagonist immortalized within, or at least she would have if she'd had any idea what the book was about.	Miscellaneous Dishonorable Mentions	
2004	The barren windswept plains beckoned to her like a forlorn lover, calling, "Come here, come here," but she thought, "Am I really dressed right for this occasion, in my black Christian Dior business suit and high heels, or should I run home real quick and change into something more Little House on the Prairieish, like a gingham skirt, white ruffled blouse, and high-button shoes?"	Miscellaneous Dishonorable Mentions	
2004	Maynard Fimble was told that "you can't compare apples and oranges," but, he thought, they are both eatable, grow on trees, are about the same size, are good for you, have a peel, come in many varieties, and are approximately round in shape, thus, to his horror and guilt, he realized that he was comparing them and wondered what punishment awaited him and on whose order.	Miscellaneous Dishonorable Mentions	
2004	The day dawned much like any other day, except that the date was different.	Miscellaneous Dishonorable Mentions	
2004	As Amy reached for the envelope her heart fluttered in anticipation like the wings of a fruit bat that has eaten a fermented peach, and even though she knew the statistic that you are more likely to be hit by a meteorite than to win the lottery, she was still quite surprised when opening the envelope to be hit by a meteorite.	Miscellaneous Dishonorable Mentions	
2004	The thing that goes back and forth inside the old grandfather clock swung like a pendulum.	Miscellaneous Dishonorable Mentions	
2004	To her dismay, Julia found that her right hand seemed to be pulling her into an increasingly horizontal position; first her wrist and forearm, then her upper arm and shoulder, until her cheek lay on her shoulder, leaving her to surmise that the handrail of the airport's moving sidewalk progressed at a more rapid pace than the sidewalk itself.	Miscellaneous Dishonorable Mentions	
2004	Her pendulous breasts swung first to the left, then to the right and finally in independent directions, much like semaphore signals, and although he couldn't understand semaphore, Kyle was sure they were saying, "Never ride the Tilt-A-Whirl with your grandma."	Miscellaneous Dishonorable Mentions	
2004	Kaitlynn looked like a woman who'd been used by more guys than a porta potty at a burrito festival yet I loved her madly even if she wasn't the kind of girl you'd take home to meet mom unless mom was at her monthly garden club meeting and dad was home alone mowing the lawn or cleaning out the garage.	Miscellaneous Dishonorable Mentions	
2004	She was so delicate that her voice was a mere whisper and her hair drooped in thinly clumped strands around her pale face with skin as milky as a china plate painted the starkest white glaze and fired in a kiln over 940 degrees Fahrenheit.	Miscellaneous Dishonorable Mentions	
2004	Her breath came in short, urgent gasps as beads of sweat slowly coalesced and slipped hesitantly over her lightly-tanned skin, leaving glistening trails down a cleavage that was both feminine and primal while her wide eyes betrayed a mind still struggling to accept that her physical ordeal was over and that she had, in fact, caught the bus.	Miscellaneous Dishonorable Mentions	
2004	It was only a leaking pustule, but for Billy the Bacterium it was home.	Miscellaneous Dishonorable Mentions	
2004	The first time a boy stuck his tongue in her mouth, Jenny surrendered completely to the invigorating intermingling of their spit — not the Polidential spit of old age, nor the salivary excretions of middle-age, with its tart hints of gingivitis even among those who floss daily, but the invigorating drool of youth—spittle that dazzled the uninitiated with its exquisite hints of promise, innocence, and bygone braces.	Miscellaneous Dishonorable Mentions	
2004	"Let's dance," he uttered perfunctorily, his voice sounding to Meg almost like tires on gravel, but more like tires on crushed shells, the kind they use for driveways in Florida and parts of South Carolina, and the tires being like big snow tires.	Miscellaneous Dishonorable Mentions	
2004	Franz made his way through the boulder-strewn alpine landscape stepping warily over granite monoliths, some resting like bodies of wine-sodden derelicts asleep in a railway station and others seemed already like separable prefixes of German verbs lurking at ends of sentences like crones from a Grimm tale ready to clutch a reader by his Lederhosen and yank him back from the brink of reverie.	Miscellaneous Dishonorable Mentions	
2004	After putting down her hometown newspaper from a small community in the Upper Peninsula of Michigan (which makes one wonder why it is the Upper Peninsula of Michigan since no part of their land touches the lower portion of the state and in actuality they are connected to Wisconsin which makes you think they should be the Upper Peninsula of Wisconsin but that is to be discussed another day), Linda needed to find a sympathy card to send to the family of someone she saw in the obituaries.	Miscellaneous Dishonorable Mentions	
2004	Myra pursed her silicone-filled lips in a pouty, sultry smirk that whispered, "We have synergy, you and I," like a man and his dog that have begun to resemble one another after lazy summer days spent sharing a common food dish and an antique, metal comb.	Miscellaneous Dishonorable Mentions	
2004	Stamp, stack, stamp, stack, stamp, stack, Rodney was going insane from the monotony of the job and the cruel irony of being guest of the New Hampshire penal system forced to read the words over and over: "Live Free or Die," "Live Free or Die," "Live Free or Die."	Miscellaneous Dishonorable Mentions	
2004	Africa: a land of deserts and jungles, a land of wars ancient and recent, ravaged by disease and famine and yet the source of nine-tenths of the world's diamonds, a land of gigantic waterfalls and the great Rift Valley, the very source of all humanity, a land 6000 miles away from where this story takes place.	Miscellaneous Dishonorable Mentions	
2004	"I've never done this before," she said softly, and she was trembling, shaking really—shaking like a Harley-Davidson idling at a stoplight, one of the ones with the old Evo-style engine, where people's dentures vibrated out as they rode—and yet when I touched her skin, it was smooth and inviting like one of the new Harleys, the ones that copy the Japanese engineering and use rubber mounts and counter-balancers…not that I would know, because I ride a British bike anyway and haven't been able to get it cranked in nearly six years, which is why I was shaking hands with her, because she owned a bike shop and had never touched a Vincent Black Lighting.	Miscellaneous Dishonorable Mentions	
2005	"Wet leaves stuck to the spinning wagon wheels like feathers to a freshly tarred heretic, reminding those who watched them of the endless movement of the leafy earth-or so they would have, if only those fifteenth-century onlookers had believed that the earth actually rotated, which they didn't, which is why it was heretical to say that it did-and which is the reason why the wagon held a freshly tarred heretic in the first place."	Historical Fiction	Dishonorable Mentions
2005	A column of five hundred Roman foot soldiers - a column held together by the plaster of courage — advanced on a teeming sea of rebellious slaves — slaves who had, ironically, built most of Rome's columns, although they actually used lime and not plaster to cement the structures, and though it is perhaps more historically precise to describe the soldiers' column as bound by the lime of courage, that doesn't really have the same adventurous ring to it.	Historical Fiction	Runner Up
2005	Sphincter, the gladiator, girded his loins in preparation for today's games, glad to be part of the season opener since he hadn't been sure until yesterday that his contract would be renewed, given his slump during the Germans-versus-lions series but he knew that swatting Germans into the lion's pit was trickier than it looked and he told the officials that they should look at his other stats, not just Huns batted in.	Historical Fiction	Winner
2005	The dragon cast his wet, rheumy eyes, heavy-lidded with misery, over his kingdom-a malodorous, rot-ridden swamp, with moss cloaking brooding, gloomy cypresses, tree trunks like decayed teeth rising from stagnant ponds, creatures with mildewed fur and scales whom the meanest roadside zoo would have rejected—and hoped the antidepressants would kick in soon.	Fantasy	Runner Up
2005	It was a dark and stormy night, although technically it wasn't black or anything — more of a gravy color like the spine of the 1969 Scribner's Sons edition of "A Farewell to Arms," and, truth be told, the storm didn't sound any more fierce than the opening to Leon Russell's 1975 classic, "Back to the Island."	Dark & Stormy	Winner
2005	Patricia wrote out the phrase 'It was a dark and stormy night' exactly seventy-two times, which was the same number of times she stabbed her now quickly-rotting husband, and the same number of pages she ripped out of 'He's Just Not That Into You' by Greg Behrendt to scatter around the room — not because she was obsessive compulsive, or had any sentimental attachment to the number seventy-two, but because she'd always wanted to give those quacks at CSI a hard time.	Crime & Detective	Winner
2005	"What are you doing in my bedroom at this time of night, Ernie, and why are you grinning at me with those sharp teeth and how come you've been spending so much time with the Count lately, and why has Big Bird disappeared, and you should really do something about that breath, or my name isn't Bert the muppet."	Children's Literature	Dishonorable Mentions
2005	The children of Hamelin were led away by a pied piper (it's common knowledge) to parts unknown; whither they went is now herein revealed, however the precise location is cloaked in accordance with International Fantasy Regulation IFR.02.3a governing site specifics as, for example, in any Harry Potter story the locations are indeed identified, but just you try and find them.	Children's Literature	Dishonorable Mentions
2005	Because of her mysterious ways I was fascinated with Dorothy and I wondered if she would ever consider having a relationship with a lion, but I have to admit that most of my attention was directed at her little dog Toto because, after all, he was a source of meat protein and I had had enough of those damn flying monkeys.	Children's Literature	Dishonorable Mentions
2005	Horatio Keelhaul sailed buoyantly up Cutter Street ironclad in his resolve to torpedo the reviewer of his literary launches who threatened his Titanic reputation with accusations of relying solely on nautical parlance to propel his gondolaic characters through the sinuous canals of his plots.	Purple Prose	Winner
2005	When Mr Bilbo Baggins of Bag End announced that he would shortly be celebrating his eleventy-first birthday, his children packed his bags and drove him to Golden Pastures retirement complex just off Interstate 95.	Children's Literature	Runner Up
2005	"Why does every task in the Realm of Zithanor have to be a quest?" Baldak of Erthorn, handyman to the Great Wizard Zarthon, asked rhetorically as he began his journey to find the Holy Hammer of Taloria and the Sacred Nail of Ikthillia so Baldak could hang one of Zarthon's mediocre watercolors, which was an art critique Baldak kept to himself unlike his predecessor, whom Zarthon turned into the Picture Frame of Torathank.	Fantasy	Winner
2005	She walked toward him, her dress billowing in the wind — not a calm and predictable billows like the sea, but more like the billowing of a mildewed shower curtain in a cheap motel where one has to dance around to avoid touching it while trying to rinse off soap.	Purple Prose	Runner Up
2005	As the sun sank low beyond the glistening horizon, even that far into the dusk, the violent rays shot up from below, lighting up the undersides of the clouds in magnificent oranges and golds, turning the owls and bats and starlings black against the sky and sending chills through Myrna, who paused from squeezing the last lactic acid from the dripping curds inside the cheesecloth.	Purple Prose	Dishonorable Mentions
2005	After months of pent-up emotions like a caffeine-addict trying to kick the habit, Cathy finally let the tears come, at first dripping sporadically like an old clogged percolator, then increasing slowly like a 10-cup coffeemaker with an automatic drip, and eventually pouring out and noisily wailing like a cappuccino maker complete with slurping froth.	Purple Prose	Dishonorable Mentions
2005	After she realized the man she had fallen in love with was her long lost twin brother and they must break up immediately, they shared one last kiss that left a bitter yet sweet taste in her mouth—kind of like throwing up after eating a junior mint.	Purple Prose	Dishonorable Mentions
2005	The rising sun crawled over the ridge and slithered across the hot barren terrain into every nook and cranny like grease on a Denny's grill in the morning rush, but only until eleven o'clock when they switch to the lunch menu.	Purple Prose	Dishonorable Mentions
2005	Mitzi's wet T-shirt clung to her torso like paint on the nose cone of a jumbo jet.	Purple Prose	Dishonorable Mentions
2005	Coincidentally, just as Rose hung out the third sheet out to dry, it started to rain down in sheets and not the soft kind like a fine 400-count Egyptian cotton, but more harsh like a cheap poly blend but even so, Rose didn't notice as she was three sheets to the wind.	Purple Prose	Dishonorable Mentions
2005	The golden-haired dawn curled back the fading face of night in a perpetual coiffure like an Ace comb in God's hand parting the day, making pompadours of mountains, crew cuts of Kansas wheat fields, and trendy cuts of the oceans' rolling waves.	Purple Prose	Dishonorable Mentions
2005	Our fearless heroine (well, mostly fearless: she is deathly afraid of caterpillars, not the fuzzy little brown ones but the colossal green ones that terrorized her while she was playing in her grandmother's garden when she was just five or six years old, which, coincidentally, was also when she discovered that shaving cream really does not taste like whipped cream) awakened with a start.	Purple Prose	Dishonorable Mentions
2005	Billy Bob gushed like a broken water main about his new love: "She's got long, beautiful, drain-clogging hair, more curves than an under-the-sink water trap, and she moves with the ease of a motorized toilet snake through a four-inch sewer line, but what she sees in me, a simple plumber, I'll never know."	Romance	Winner
2005	"Oh my God!" Amber whispered as the compressor throbbed to life, shuddered rhythmically towards its inevitable conclusion, and shot ninety pounds of sultry air through custom-bored, cold-drawn, boss-lock-fitted crimp-couplings as Chuck Key glanced up with a smile that only tire shop guys can smile.	Romance	Runner Up
2005	Sandra had waited and wished for Gary to come sweep her off her feet, feeling just like Lois Lane waiting for her handsome, masculine Superman to come fly her away from the humdrum of everyday life, but Gary had never come, and so she'd ended up with Herman, a man as bald as Lex Luthor with worse eyesight than Clark Kent and the maturity level of Jimmy Olsen.	Romance	Dishonorable Mentions
2005	Looking sideways at Thomas, Mireille slowly removed her scarf, waiting…hoping…praying that when he came close enough to smell the delectable fragrance of her long, luscious waves that he wasn't going to start sneezing or sniffling or rubbing his eyes, because those were tell-tale signs of his allergies acting up, and if they did, he would know that she had been out rolling around in the lavender fields with Luc again.	Romance	Dishonorable Mentions
2005	Garwood dearly loved his time spent in the goat-house, where he could court Thordia— regaling her with his prowess at treating goat-udder growths, shoveling manure like a nuclear chemist trying to bottle the Christmas spirit, and making the precious fermented limburger of the lactate goat secretions.	Romance	Dishonorable Mentions
2005	The woods were all a-twitter with rumors that the Seven Dwarves were planning a live reunion after their attempted solo careers had dismally sputtered into Z-list oblivion and it was all just a matter of meeting a ten-page list of outlandish demands (including 700-threadcount Egyptian cotton bedsheets, lots of white lilies and a separate trailer for the magic talking mirror) to get the Princess Formerly Known As Snow White on board.	Children's Literature	Winner
2005	"The night resembled nothing so much as the nose of a giant Labrador in excellent health: cold, black, and wet."	Purple Prose	Dishonorable Mentions
2005	When the great Italian archeologist, Giovanni Battista de Rossi, broke through the centuries of choking rubble and rock in the abandoned catacombs under Rome and the dust cleared, he held his blazing torch high, pickup a flat, dirt-encrusted object with a row of teeth, examined it with his educated eye, and exclaimed, "By the saints, I do believe I've discovered another ancient kitty comb."	Adventure	Dishonorable Mentions
2005	A warning to the reader: Tom dies in the end of the story so don't get too attached to him.	Miscellaneous Dishonorable Mentions	
2005	Captain Burton stood at the bow of his massive sailing ship, his weathered face resembling improperly cured leather that wouldn't even be used to make a coat or something.	Adventure	Winner
2005	Long, long ago in a galaxy far away, in General Hospital born I was, and quite happy were my parents, but when a youngling still I was, moved we did.	Science Fiction	Winner
2005	In considering the wisdom of entering upon an affair of the heart with the redoubtable Miss Ffiona Sensuosa, MacFadden Perfidy weighed the undeniable erotic advantages of such a confluence of physiologically coinciding characteristics against the demonstrably unfortunate fact of her exhibiting pronounced advantages over him in terms of wealth, intelligence and personality, and concluded that their union could possibly be inadvisable.	Miscellaneous Dishonorable Mentions	
2005	She was independent and impetuous and winning her heart would be like capturing lightning in a bottle, not the plastic kind that is prevalent everywhere today but the glass kind that I used to buy créme soda in at the service station, when they were actually SERVICE STATIONS, two blocks from my house back in the 50's and early 60's and I would return them for two cents deposit which was a quick source of income back then because my allowance was only ten cents a week.	Miscellaneous Dishonorable Mentions	
2005	The wheel of love had left its treadmarks in his chest once too often, like a knobby mud tire on a monster truck, or like a really big ponce wheel, the kind that tailors use to punch little holes in patterns and that would leave lots of nasty little welts if you were to run it up and down your arm.	Miscellaneous Dishonorable Mentions	
2005	She was standing weepily at her father's grave in the old family cemetery, where the ancient headstones tipped and tumbled like a flock of spring lambs, when she raised her weary eyes to see a shirtless man, his mighty thighs clutching the loins of a raging steed whose breath came hot as a desert wind, and made a mental note to get her hairdryer repaired.	Miscellaneous Dishonorable Mentions	
2005	You could tell it was going to be a perfect beach day, maybe the best one all summer — when the air is the temperature of a gymnasium locker room and the sea sways over the dunes like a yoga instructor doing the downward facing dog.	Miscellaneous Dishonorable Mentions	
2005	We crossed America that week, the red states melding into the blue states like stomped grapes along our route, leaving our tires with a stain not unlike the stains on Lucy Ricardo's feet when she stomped grapes during the "I Love Lucy" episode in which the Ricardos and the Mertzes visited Italy.	Miscellaneous Dishonorable Mentions	
2005	Anyone with a less refined air of unabashed insouciance would not have been able to so easily slip through the security cordon, charm their way past the armed guards, breeze through the marbled reception area and blithely enter the inner sanctum of the UN Security Council and there successfully negotiate an end to all conflict in the Middle East, but that was the sort of man Nigel Simpkins was.	Miscellaneous Dishonorable Mentions	
2005	Charles stuck his head out the window, not fully realizing that the salt air and warm breeze would have no beneficial effect on a head severed and shrunk in Borneo and sold on a stick to tourists in Bali, and with little thought of the irony of the former missionary's vacant gaze on a nude beach with at least two couples in the missionary position.	Miscellaneous Dishonorable Mentions	
2005	During the entire exhilarating, bright and lively day in the summer of the year, when the clouds passed like cotton puffs high in the heavens, I had been passing alone, in my Alfa Romeo, through exceptionally appealing countryside; and finally found myself, in the gloaming of the day, within view of the cheery prospect of the House of Sol Asher, my old friend and haberdasher. (Apologies to E.A.P.)	Miscellaneous Dishonorable Mentions	
2005	"So you see" concluded Lance "there are certain things that every woman regardless of personal situation should do at least once in their lives and I am foremost amongst these things."	Miscellaneous Dishonorable Mentions	
2005	It was Angela's 96th birthday party, and as she leaned over to blow out the candles on her cake and thought back on her long, long life, the children she'd given birth to, the man she had married and then sadly buried, she thought to herself, well no matter what at least I've grown old with dignity, then the nursing home attendant pointed out that her breasts were dipping in the trifle bowl again.	Miscellaneous Dishonorable Mentions	
2005	They ask me if it was dark that night the hyenas showed up and ate the little beagle as he sat typing away on his dog house and then ate all the little round-faced kids, and I tell 'em, "no," it was not even stormy, kind of a calm, half-moon lit night where you'd sit on your deck having some peanuts, until the hyenas arrived of course and then it got so noisy you had to go in the house.	Miscellaneous Dishonorable Mentions	
2005	I peeled my body off the alcohol-soaked carpet, spat the cigarette butts out of my mouth, licked my lips with a tongue that felt and tasted like a rat that had been lightly sauteed in lighter fluid, and after struggling to what a quick visual inspection confirmed were apparently my feet, decided that the next time a seven- foot-tall Lebanese fisherman called Bottomless Mary challenged me to an ouzo-drinking contest I wouldn't wear suede shoes.	Miscellaneous Dishonorable Mentions	
2005	Rocko Gallante was as slick as a broken egg on a linoleum floor and as polished as a Washington apple that had been spit on and rubbed to a gleaming finish on the tail of a very clean shirt.	Miscellaneous Dishonorable Mentions	
2005	James found "Spider-Man 2" to be quite an average movie, like a superhero episode of "Dawson's Creek," but not from the excellent first season, nor from the horrible final seasons, but rather from somewhere in the mid-run of the show, when it wasn't as good as it used to be but it didn't totally suck yet.	Miscellaneous Dishonorable Mentions	
2005	Derwin Thoryndike vowed to place a 14-carat engagement ring on the finger of Glenda-Sue Ellington, so now all he had to do was save up enough money to buy the ring, get it inscribed, and then locate a person named Glenda-Sue Ellington and convince her to marry him.	Miscellaneous Dishonorable Mentions	
2005	Inside his cardboard box, Greg heated a dented can of Spaghetti-O's over a small fire made from discarded newspapers, then cracked open his last can of shoplifted generic beer to celebrate the 10th anniversary of his embarkation on a career as a freelance writer.	Miscellaneous Dishonorable Mentions	
2005	The assassin drew his dagger - a simple line drawing in black ink on rose-tinted vellum.	Miscellaneous Dishonorable Mentions	
2005	For the fifteenth time that evening my narcoleptic lover opened his eyes, smiled at me, and said, "Good morning!"	Miscellaneous Dishonorable Mentions	
2005	It was high noon as Dusty rode into town, slumped low in the saddle on a horse so blinded by thirst from their long days in the desert that you could follow their slow shuffle to the local tavern by the hollow sound of a horse head against the worn clapboard buildings that lined the town's only road.	Western	Runner Up
2005	As soon as Sherriff Russell heard Bradshaw say, "This town ain't big enough for the both of us," he inadvertantly visualized a tiny chalk-line circle with a town sign that said 'population 1,' and the two of them both trying to stand inside of it rather ineffectively, leaning this way and that, trying to keep their balance without stepping outside of the line, and that was why he was smiling when Bradshaw shot him.	Western	Winner
2005	Max thought the night-time burglary at the California surfing museum would be a safe caper, but that was before he spotted the security cop riding a bull mastiff, blond hair blowing in the wind, and noticed the blue-and-white sign wired to the cyclone fence, "Guard dude on doggy."	Vile Puns	Runner Up
